Volume,WVolPrice,Open,High,Low,Close,Timestamp,Transactions
7485,173.2981,173.5,173.2,173.5,173.2,1591310700000,37
2565,173.2455,173.224,173.24,173.24,173.2,1591311600000,15
5585,173.5087,173.53,173.278,173.6,173.278,1591313400000,44
6615,173.2313,173.2,173.2,173.3,173.2,1591314300000,54
13165,175.208,174.872,175.388,175.4,174.602,1591344000000,82
1195,175.6977,175.7,175.7,175.7,175.7,1591345800000,7
1200,175.4082,175.412,175.412,175.412,175.412,1591346700000,9
575,175.2261,175.2,175.2,175.2,175.2,1591349400000,2
3870,175.3985,175.398,175.398,175.398,175.398,1591350300000,22
4610,175.2143,175.398,175.18,175.398,175,1591351200000,24
3130,174.4332,174.5,174.4,174.5,174.4,1591353000000,12
46015,174.7975,174.78,174.776,174.93,174.5,1591354800000,220
17940,174.66,174.7,174.7,174.824,174.56,1591355700000,100
29745,174.6899,174.64,174.7,174.8,174.534,1591356600000,128
28100,174.6736,174.84,174.28,174.9,174.28,1591357500000,128
111165,174.3696,174.7,174.34,174.9,174,1591358400000,587
30040,174.1878,174.2001,174.1204,174.306,174.002,1591359300000,221
259545,175.077,174.3,175.2,175.596,174.2,1591360200000,1151
148590,175.2355,175.212,175.6,175.629,174.78,1591361100000,884
115380,175.6672,175.68,175.8,175.8,175.4,1591362000000,1283
217690,175.4789,175.83,175.612,176,174.6,1591362900000,1545
3618745,175.1369,175.568,175.173,175.88,174.43,1591363800000,14304
3142375,175.4506,175.2,175.3478,176.19,174.618,1591364700000,12391
2110475,174.7243,175.412,174.52,175.42,173.814,1591365600000,9979
1947065,173.9457,174.5376,174.236,174.5376,173.24,1591366500000,9187
1249535,174.176,174.224,174.074,174.5999,173.8,1591367400000,5306
972650,174.122,174.0715,174.436,174.556,173.705,1591368300000,4875
1648385,174.8174,174.42,175.16,175.3558,174.4125,1591369200000,6732
1039640,175.0935,175.176,175.198,175.378,174.821,1591370100000,5029
1234220,175.1775,175.2,174.954,175.598,174.698,1591371000000,5931
764855,174.9094,174.996,174.7377,175.302,174.674,1591371900000,3755
787355,174.7237,174.796,174.733,175.095,174.466,1591372800000,4145
1282625,175.2917,174.734,175.796,175.8,174.69,1591373700000,5372
999425,175.6794,175.758,175.36,175.976,175.282,1591374600000,4844
483630,175.4663,175.356,175.464,175.698,175.184,1591375500000,2763
640145,175.4177,175.498,175.464,175.68,175.256,1591376400000,2871
1221830,175.8063,175.458,175.823,176.054,175.4038,1591377300000,4984
919075,175.4412,175.84,175.277,175.898,175.094,1591378200000,4014
643720,175.1609,175.2972,175.1789,175.3396,174.922,1591379100000,2928
942870,174.9433,175.176,174.9528,175.2998,174.638,1591380000000,3863
606250,175.1659,174.962,175.27,175.276,174.918,1591380900000,2522
1694715,175.995,175.3,176.7229,176.9,175.27,1591381800000,7061
2145880,176.6724,176.762,176.563,177.16,176.206,1591382700000,8354
